,names,prices,rates,images,links
0,"vivo T3 5G (Crystal Flake, 256 GB)","₹21,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/x/2/-original-imagz6tzewyqpgtz.jpeg?q=70,https://www.flipkart.com/vivo-t3-5g-crystal-flake-256-gb/p/itm69b3c5633378f?pid=MOBGYT3VT78XZHKS&lid=LSTMOBGYT3VT78XZHKSSF9XVQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=en_ypzjGuNqaZ_YxbhHrrkGGJZkS60zpc4LGiZTmvlV0k3sm5YRyUabT4H43NawR8lU6RaISzMJPK362RJFRa9l5g%3D%3D&ppt=None&ppn=None&ssid=gelcbeeftc0000001716475913060&qH=eb4af0bf07c16429
1,"Motorola Edge 50 Fusion (Hot Pink, 256 GB)","₹24,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/k/l/edge-50-fusion-pb300001in-motorola-original-imahywzpfd2jh9ep.jpeg?q=70,https://www.flipkart.com/motorola-edge-50-fusion-hot-pink-256-gb/p/itm754e69c2fc5dd?pid=MOBGXTYZZBUPYFEC&lid=LSTMOBGXTYZZBUPYFECU3ECBQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=6b2f05dd-47d3-4cd7-b740-52a4fdf8273a.MOBGXTYZZBUPYFEC.SEARCH&ppt=None&ppn=None&ssid=gelcbeeftc0000001716475913060&qH=eb4af0bf07c16429
2,"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/m/f/g34-5g-pb1v0002in-motorola-original-imagwu4rayqhgfjh.jpeg?q=70,https://www.flipkart.com/motorola-g34-5g-ocean-green-128-gb/p/itm6b1a33b9d9191?pid=MOBGUFK4TZ2CJYHJ&lid=LSTMOBGUFK4TZ2CJYHJPBUF6M&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=6b2f05dd-47d3-4cd7-b740-52a4fdf8273a.MOBGUFK4TZ2CJYHJ.SEARCH&ppt=None&ppn=None&ssid=gelcbeeftc0000001716475913060&qH=eb4af0bf07c16429
3,"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/o/y/g34-5g-pb1v0000in-motorola-original-imagwu4s8naevwyq.jpeg?q=70,https://www.flipkart.com/motorola-g34-5g-charcoal-black-128-gb/p/itmcf3922f5c94b2?pid=MOBGUFK4QPQMAA2S&lid=LSTMOBGUFK4QPQMAA2SCAYBBS&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=6b2f05dd-47d3-4cd7-b740-52a4fdf8273a.MOBGUFK4QPQMAA2S.SEARCH&ppt=None&ppn=None&ssid=gelcbeeftc0000001716475913060&qH=eb4af0bf07c16429
4,"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹9,490",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/2/x/-original-imagtyxg7mdjhfqm.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-f14-5g-b-a-e-purple-128-gb/p/itmdc1c60aa887ff?pid=MOBGNBFNNZER2WZW&lid=LSTMOBGNBFNNZER2WZWDG8CJ0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=TrendingId_tyy%2F4io&srno=s_1_5&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=6b2f05dd-47d3-4cd7-b740-52a4fdf8273a.MOBGNBFNNZER2WZW.SEARCH&ppt=None&ppn=None&ssid=gelcbeeftc0000001716475913060&qH=eb4af0bf07c16429
5,"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/k/9/g34-5g-pb1v0001in-motorola-original-imagwu4r4xze9jwz.jpeg?q=70,https://www.flipkart.com/motorola-g34-5g-ice-blue-128-gb/p/itmc36bacc1f7bb0?pid=MOBGUFK4P2H9CY7Y&lid=LSTMOBGUFK4P2H9CY7Y4FYWMH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=6b2f05dd-47d3-4cd7-b740-52a4fdf8273a.MOBGUFK4P2H9CY7Y.SEARCH&ppt=None&ppn=None&ssid=gelcbeeftc0000001716475913060&qH=eb4af0bf07c16429
6,"POCO M6 Pro 5G (Forest Green, 128 GB)","₹9,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/9/i/m6-pro-5g-mzb0eqjin-poco-original-imags3e7dazavyje.jpeg?q=70,https://www.flipkart.com/poco-m6-pro-5g-forest-green-128-gb/p/itm151f47ed48eee?pid=MOBGRNZ3FZBVRYHQ&lid=LSTMOBGRNZ3FZBVRYHQLWWUJH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_7&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=6b2f05dd-47d3-4cd7-b740-52a4fdf8273a.MOBGRNZ3FZBVRYHQ.SEARCH&ppt=None&ppn=None&ssid=gelcbeeftc0000001716475913060&qH=eb4af0bf07c16429
7,"POCO M6 Pro 5G (Power Black, 128 GB)","₹9,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/d/h/q/m6-pro-5g-mzb0eprin-poco-original-imags3e7vewsafst.jpeg?q=70,https://www.flipkart.com/poco-m6-pro-5g-power-black-128-gb/p/itmef8fa46f89738?pid=MOBGRNZ3ER4N3K4F&lid=LSTMOBGRNZ3ER4N3K4FIYYGCU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=6b2f05dd-47d3-4cd7-b740-52a4fdf8273a.MOBGRNZ3ER4N3K4F.SEARCH&ppt=None&ppn=None&ssid=gelcbeeftc0000001716475913060&qH=eb4af0bf07c16429
8,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹9,490",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/n/k/-original-imagtyxb86ddjhzh.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-f14-5g-goat-green-128-gb/p/itm032d1a69999cc?pid=MOBGNBFNDPGNJ7HY&lid=LSTMOBGNBFNDPGNJ7HYRCCFUH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=6b2f05dd-47d3-4cd7-b740-52a4fdf8273a.MOBGNBFNDPGNJ7HY.SEARCH&ppt=None&ppn=None&ssid=gelcbeeftc0000001716475913060&qH=eb4af0bf07c16429
9,"POCO C61 (Mystical Green, 128 GB)","₹6,999",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/g/r/-original-imagzcfjsdxtrnnz.jpeg?q=70,https://www.flipkart.com/poco-c61-mystical-green-128-gb/p/itm9215fba9e0392?pid=MOBGZ8P7PRUZEAG3&lid=LSTMOBGZ8P7PRUZEAG3WVY6JI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=6b2f05dd-47d3-4cd7-b740-52a4fdf8273a.MOBGZ8P7PRUZEAG3.SEARCH&ppt=None&ppn=None&ssid=gelcbeeftc0000001716475913060&qH=eb4af0bf07c16429
